"headingTrace","pageTrace","page_id","section_id","content","enhancedContent"
"Key aspects of document storage:","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Core Functionality<_dot_>Document Storage<_dot_>Key aspects of document storage:","key-aspects-of-document-storage","key-aspects-of-document-storage","1. **Document Structure**

   Each document consists of:
   - **Title**: A descriptive name for the document (required)
   - **Content**: The main text body of the document (required)
   - **Embedding**: Vector representation of the content (automatically generated)
   - **Created/Updated timestamps**: Automatically managed by the system

2. **Adding Documents**

   To add a document to the system:

   a. Using the API directly:

   b. Using Python with requests:

3. **Document Size Considerations**
   - The system is optimized for text documents ranging from a few sentences to several paragraphs
   - Very large documents (>100KB) may be automatically split into smaller chunks
   - For optimal search results, consider splitting very large documents into logical sections

4. **Embedding Generation**

   When a document is stored, the system:
   - Preprocesses the text (cleaning, normalization)
   - Generates a vector embedding using the all-mpnet-base-v2 model
   - Stores both the original text and the vector representation
   - The embedding process is automatic and transparent to the user

**Best Practices**:
- Store logically coherent chunks of information for better retrieval results
- Include relevant titles that summarize the document content
- For CSV or tabular data, consider storing each row or logical section as a separate document
- Update documents when information changes to ensure embeddings remain current","This content is about 'Key aspects of document storage:' within the section 'RAG System User Guide > RAG System User Guide > Core Functionality > Document Storage'. 1. **Document Structure**

   Each document consists of:
   - **Title**: A descriptive name for the document (required)
   - **Content**: The main text body of the document (required)
   - **Embedding**: Vector representation of the content (automatically generated)
   - **Created/Updated timestamps**: Automatically managed by the system

2. **Adding Documents**

   To add a document to the system:

   a. Using the API directly:

   b. Using Python with requests:

3. **Document Size Considerations**
   - The system is optimized for text documents ranging from a few sentences to several paragraphs
   - Very large documents (>100KB) may be automatically split into smaller chunks
   - For optimal search results, consider splitting very large documents into logical sections

4. **Embedding Generation**

   When a document is stored, the system:
   - Preprocesses the text (cleaning, normalization)
   - Generates a vector embedding using the all-mpnet-base-v2 model
   - Stores both the original text and the vector representation
   - The embedding process is automatic and transparent to the user

**Best Practices**:
- Store logically coherent chunks of information for better retrieval results
- Include relevant titles that summarize the document content
- For CSV or tabular data, consider storing each row or logical section as a separate document
- Update documents when information changes to ensure embeddings remain current"
"Semantic Search","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Core Functionality<_dot_>Semantic Search","semantic-search","semantic-search","Semantic search is the core functionality of the RAG System, allowing you to find documents based on their meaning rather than just keyword matching. This capability is powered by vector embeddings and similarity metrics.","This content is about 'Semantic Search' within the section 'RAG System User Guide > RAG System User Guide > Core Functionality'. Semantic search is the core functionality of the RAG System, allowing you to find documents based on their meaning rather than just keyword matching. This capability is powered by vector embeddings and similarity metrics."
"How Semantic Search Works:","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Core Functionality<_dot_>Semantic Search<_dot_>How Semantic Search Works:","how-semantic-search-works","how-semantic-search-works","1. **Query Processing**
   - When you submit a search query, the system converts it into a vector embedding using the same model used for document storage
   - This query vector captures the semantic meaning of your question or search terms
   - The system then compares this vector against all document vectors in the database

2. **Similarity Calculation**
   - The system uses cosine similarity as the primary metric to compare vectors
   - Cosine similarity measures the angle between vectors, ranging from -1 (opposite meaning) to 1 (identical meaning)
   - Documents with higher similarity scores are more semantically related to your query

3. **Result Ranking**
   - Results are ranked by similarity score in descending order
   - The top_k parameter controls how many results are returned
   - Each result includes the document content and a similarity score

4. **Using Semantic Search**

   To search for documents:

   a. Using the API directly:

   b. Using Python with requests:

5. **Query Formulation Tips**
   - Be specific: Clearly articulate what you're looking for
   - Use natural language: The system understands conversational queries
   - Provide context: Include relevant details for more accurate results
   - Try variations: If you don't get desired results, try rephrasing your query

6. **Understanding Results**
   - Similarity scores above 0.8 generally indicate high relevance
   - Scores between 0.6-0.8 indicate moderate relevance
   - Scores below 0.6 may be tangentially related but less relevant
   - An empty result list means no documents matched well with your query

The semantic search capability allows you to find information based on conceptual understanding rather than exact keyword matches, making it powerful for retrieving relevant information even when the exact terminology differs.","This content is about 'How Semantic Search Works:' within the section 'RAG System User Guide > RAG System User Guide > Core Functionality > Semantic Search'. 1. **Query Processing**
   - When you submit a search query, the system converts it into a vector embedding using the same model used for document storage
   - This query vector captures the semantic meaning of your question or search terms
   - The system then compares this vector against all document vectors in the database

2. **Similarity Calculation**
   - The system uses cosine similarity as the primary metric to compare vectors
   - Cosine similarity measures the angle between vectors, ranging from -1 (opposite meaning) to 1 (identical meaning)
   - Documents with higher similarity scores are more semantically related to your query

3. **Result Ranking**
   - Results are ranked by similarity score in descending order
   - The top_k parameter controls how many results are returned
   - Each result includes the document content and a similarity score

4. **Using Semantic Search**

   To search for documents:

   a. Using the API directly:

   b. Using Python with requests:

5. **Query Formulation Tips**
   - Be specific: Clearly articulate what you're looking for
   - Use natural language: The system understands conversational queries
   - Provide context: Include relevant details for more accurate results
   - Try variations: If you don't get desired results, try rephrasing your query

6. **Understanding Results**
   - Similarity scores above 0.8 generally indicate high relevance
   - Scores between 0.6-0.8 indicate moderate relevance
   - Scores below 0.6 may be tangentially related but less relevant
   - An empty result list means no documents matched well with your query

The semantic search capability allows you to find information based on conceptual understanding rather than exact keyword matches, making it powerful for retrieving relevant information even when the exact terminology differs."
"Advanced Features","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Advanced Features","advanced-features","advanced-features","","This content is about 'Advanced Features' within the section 'RAG System User Guide > RAG System User Guide'. "
"Bulk Document Upload","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Advanced Features<_dot_>Bulk Document Upload","bulk-document-upload","bulk-document-upload","The RAG System supports bulk document upload for efficiently adding multiple documents to the database. This feature is particularly useful when migrating existing document collections or processing large datasets.","This content is about 'Bulk Document Upload' within the section 'RAG System User Guide > RAG System User Guide > Advanced Features'. The RAG System supports bulk document upload for efficiently adding multiple documents to the database. This feature is particularly useful when migrating existing document collections or processing large datasets."
"Bulk Upload Methods:","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Advanced Features<_dot_>Bulk Document Upload<_dot_>Bulk Upload Methods:","bulk-upload-methods","bulk-upload-methods","1. **Using CSV Files**

   You can upload multiple documents from a CSV file with the following structure:

   a. Required CSV Format:

   b. Processing the CSV with Python:

2. **Using the Batch API**

   For very large document collections, the system provides a batch processing endpoint:

   a. Batch Request Format:

   b. Response Format:

3. **Processing Structured Documents**

   When uploading structured documents like technical manuals or textbooks:

   a. Consider splitting by sections:
   - Create a separate document for each logical section
   - Use a consistent title format (e.g., """"Chapter 1: Introduction"""")
   - Include context in content where needed

   b. Example preprocessing script:

**Best Practices for Bulk Upload**:
- Process large uploads in batches of 100-500 documents
- Implement error handling and retry logic for failed uploads
- Ensure document titles are unique or include identifiers
- Monitor database performance during large uploads
- Consider running bulk uploads during off-peak hours
- Validate document content before upload to ensure quality
- Include preprocessing steps to clean and normalize text

> **Note**: Very large bulk uploads may temporarily impact query performance while the vector indexes are being updated. Plan uploads accordingly.","This content is about 'Bulk Upload Methods:' within the section 'RAG System User Guide > RAG System User Guide > Advanced Features > Bulk Document Upload'. 1. **Using CSV Files**

   You can upload multiple documents from a CSV file with the following structure:

   a. Required CSV Format:

   b. Processing the CSV with Python:

2. **Using the Batch API**

   For very large document collections, the system provides a batch processing endpoint:

   a. Batch Request Format:

   b. Response Format:

3. **Processing Structured Documents**

   When uploading structured documents like technical manuals or textbooks:

   a. Consider splitting by sections:
   - Create a separate document for each logical section
   - Use a consistent title format (e.g., """"Chapter 1: Introduction"""")
   - Include context in content where needed

   b. Example preprocessing script:

**Best Practices for Bulk Upload**:
- Process large uploads in batches of 100-500 documents
- Implement error handling and retry logic for failed uploads
- Ensure document titles are unique or include identifiers
- Monitor database performance during large uploads
- Consider running bulk uploads during off-peak hours
- Validate document content before upload to ensure quality
- Include preprocessing steps to clean and normalize text

> **Note**: Very large bulk uploads may temporarily impact query performance while the vector indexes are being updated. Plan uploads accordingly."
"Security","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Security","security","security","","This content is about 'Security' within the section 'RAG System User Guide > RAG System User Guide'. "
"API Authentication","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Security<_dot_>API Authentication","api-authentication","api-authentication","The RAG System implements API authentication to ensure secure access to the endpoints. This section explains how to authenticate your requests to the API.","This content is about 'API Authentication' within the section 'RAG System User Guide > RAG System User Guide > Security'. The RAG System implements API authentication to ensure secure access to the endpoints. This section explains how to authenticate your requests to the API."
"Authentication Methods:","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Security<_dot_>API Authentication<_dot_>Authentication Methods:","authentication-methods","authentication-methods","1. **API Key Authentication**

   The primary authentication method uses API keys:

   a. Obtaining an API Key:
   - API keys are generated by the system administrator
   - Each key is associated with specific permissions and rate limits
   - Contact your administrator to request a new API key

   b. Using API Keys in Requests:

   c. API Key in Python Requests:

2. **Environment Configuration**

   For development environments, you can configure authentication:

   a. In the .env file:

   b. Disabling authentication (development only):

   Note: This should never be done in production environments.

3. **Security Best Practices**

   When working with API authentication:

   - Never share API keys in public repositories or client-side code
   - Implement proper key rotation procedures
   - Use environment variables to store API keys
   - Set appropriate expiration for API keys
   - Implement rate limiting to prevent abuse
   - Monitor API usage for suspicious activity

4. **Error Responses**

   When authentication fails, the API returns:

   Status codes:
   - 401: Invalid or missing API key
   - 403: Valid API key but insufficient permissions
   - 429: Rate limit exceeded

> **Note**: The authentication mechanism is designed to be secure while minimizing overhead. API keys should be treated as sensitive information and protected accordingly.","This content is about 'Authentication Methods:' within the section 'RAG System User Guide > RAG System User Guide > Security > API Authentication'. 1. **API Key Authentication**

   The primary authentication method uses API keys:

   a. Obtaining an API Key:
   - API keys are generated by the system administrator
   - Each key is associated with specific permissions and rate limits
   - Contact your administrator to request a new API key

   b. Using API Keys in Requests:

   c. API Key in Python Requests:

2. **Environment Configuration**

   For development environments, you can configure authentication:

   a. In the .env file:

   b. Disabling authentication (development only):

   Note: This should never be done in production environments.

3. **Security Best Practices**

   When working with API authentication:

   - Never share API keys in public repositories or client-side code
   - Implement proper key rotation procedures
   - Use environment variables to store API keys
   - Set appropriate expiration for API keys
   - Implement rate limiting to prevent abuse
   - Monitor API usage for suspicious activity

4. **Error Responses**

   When authentication fails, the API returns:

   Status codes:
   - 401: Invalid or missing API key
   - 403: Valid API key but insufficient permissions
   - 429: Rate limit exceeded

> **Note**: The authentication mechanism is designed to be secure while minimizing overhead. API keys should be treated as sensitive information and protected accordingly."
"Rate Limiting","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Security<_dot_>Rate Limiting","rate-limiting","rate-limiting","The RAG System implements rate limiting to prevent abuse, ensure fair usage, and maintain system performance. This section explains how rate limiting works and what to expect when limits are reached.","This content is about 'Rate Limiting' within the section 'RAG System User Guide > RAG System User Guide > Security'. The RAG System implements rate limiting to prevent abuse, ensure fair usage, and maintain system performance. This section explains how rate limiting works and what to expect when limits are reached."
"Rate Limiting Implementation:","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Security<_dot_>Rate Limiting<_dot_>Rate Limiting Implementation:","rate-limiting-implementation","rate-limiting-implementation","1. **Default Rate Limits**

   The system enforces the following default limits:

   - Document creation: 100 requests per hour
   - Document retrieval: 1000 requests per hour
   - Query operations: 500 requests per hour

   These limits are applied per API key or IP address.

2. **Rate Limit Headers**

   The API includes rate limit information in response headers:

   - X-Rate-Limit-Limit: The maximum number of requests allowed in the current period
   - X-Rate-Limit-Remaining: The number of requests remaining in the current period
   - X-Rate-Limit-Reset: The time at which the rate limit resets (Unix timestamp)

3. **Handling Rate Limit Errors**

   When a rate limit is exceeded, the API returns:

   Best practices for handling rate limits:

4. **Requesting Higher Limits**

   If you need higher rate limits:

   - Contact your system administrator with your use case
   - Provide expected request volume and patterns
   - Consider implementing batching for document operations to reduce request frequency

5. **Best Practices**

   To work effectively with rate limits:

   - Implement exponential backoff for retries
   - Use batch operations when possible
   - Cache frequently accessed information
   - Monitor your usage to stay within limits
   - Distribute large operations over time
   - Include rate limit handling in your applications

> **Note**: Rate limiting is designed to ensure system stability and fair resource allocation. If you consistently hit rate limits, review your usage patterns or consider requesting adjusted limits for your use case.","This content is about 'Rate Limiting Implementation:' within the section 'RAG System User Guide > RAG System User Guide > Security > Rate Limiting'. 1. **Default Rate Limits**

   The system enforces the following default limits:

   - Document creation: 100 requests per hour
   - Document retrieval: 1000 requests per hour
   - Query operations: 500 requests per hour

   These limits are applied per API key or IP address.

2. **Rate Limit Headers**

   The API includes rate limit information in response headers:

   - X-Rate-Limit-Limit: The maximum number of requests allowed in the current period
   - X-Rate-Limit-Remaining: The number of requests remaining in the current period
   - X-Rate-Limit-Reset: The time at which the rate limit resets (Unix timestamp)

3. **Handling Rate Limit Errors**

   When a rate limit is exceeded, the API returns:

   Best practices for handling rate limits:

4. **Requesting Higher Limits**

   If you need higher rate limits:

   - Contact your system administrator with your use case
   - Provide expected request volume and patterns
   - Consider implementing batching for document operations to reduce request frequency

5. **Best Practices**

   To work effectively with rate limits:

   - Implement exponential backoff for retries
   - Use batch operations when possible
   - Cache frequently accessed information
   - Monitor your usage to stay within limits
   - Distribute large operations over time
   - Include rate limit handling in your applications

> **Note**: Rate limiting is designed to ensure system stability and fair resource allocation. If you consistently hit rate limits, review your usage patterns or consider requesting adjusted limits for your use case."
"Technical Reference","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Technical Reference","technical-reference","technical-reference","","This content is about 'Technical Reference' within the section 'RAG System User Guide > RAG System User Guide'. "
"Embedding Models","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Technical Reference<_dot_>Embedding Models","embedding-models","embedding-models","The RAG System uses text embedding models to convert documents and queries into vector representations. Understanding these models can help you optimize your use of the system.","This content is about 'Embedding Models' within the section 'RAG System User Guide > RAG System User Guide > Technical Reference'. The RAG System uses text embedding models to convert documents and queries into vector representations. Understanding these models can help you optimize your use of the system."
"About the Default Embedding Model:","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Technical Reference<_dot_>Embedding Models<_dot_>About the Default Embedding Model:","about-the-default-embedding-model","about-the-default-embedding-model","1. **Model Information**
   - Name: all-mpnet-base-v2
   - Vector Dimensions: 768
   - Model Type: Sentence Transformer
   - Training Data: Diverse text corpus including web content, books, and research papers
   - Optimization: Tuned for semantic similarity tasks

2. **Embedding Properties**
   - Each document is represented as a 768-dimensional floating-point vector
   - Vectors capture semantic meaning, context, and relationships between concepts
   - Similar concepts have vectors that are close in the vector space
   - The model is language-aware and understands English text well

3. **When Embeddings Are Generated**
   - Document embeddings: Generated at document storage time
   - Query embeddings: Generated when a query is processed
   - The same model is used for both document and query embedding to ensure compatibility

4. **Technical Details**
   - Embedding storage: Vectors are stored using pgvector's native ARRAY(FLOAT) type
   - Distance metric: Cosine similarity (1 - cosine distance) is used by default
   - Preprocessing: Text is normalized, tokenized, and processed through the model

5. **Embedding Limitations**
   - Context window: Limited to approximately 384 tokens (roughly 250-300 words)
   - Language support: Optimized for English, with varying performance on other languages
   - Domain specificity: General-purpose model that may not capture highly specialized terminology

6. **Advanced Usage**

   If you're an advanced user integrating with the system:

> **Note**: The embedding model is integrated into the system and used automatically. Most users don't need to interact with it directly. This information is provided for those who want to understand the technical underpinnings of the semantic search capability.","This content is about 'About the Default Embedding Model:' within the section 'RAG System User Guide > RAG System User Guide > Technical Reference > Embedding Models'. 1. **Model Information**
   - Name: all-mpnet-base-v2
   - Vector Dimensions: 768
   - Model Type: Sentence Transformer
   - Training Data: Diverse text corpus including web content, books, and research papers
   - Optimization: Tuned for semantic similarity tasks

2. **Embedding Properties**
   - Each document is represented as a 768-dimensional floating-point vector
   - Vectors capture semantic meaning, context, and relationships between concepts
   - Similar concepts have vectors that are close in the vector space
   - The model is language-aware and understands English text well

3. **When Embeddings Are Generated**
   - Document embeddings: Generated at document storage time
   - Query embeddings: Generated when a query is processed
   - The same model is used for both document and query embedding to ensure compatibility

4. **Technical Details**
   - Embedding storage: Vectors are stored using pgvector's native ARRAY(FLOAT) type
   - Distance metric: Cosine similarity (1 - cosine distance) is used by default
   - Preprocessing: Text is normalized, tokenized, and processed through the model

5. **Embedding Limitations**
   - Context window: Limited to approximately 384 tokens (roughly 250-300 words)
   - Language support: Optimized for English, with varying performance on other languages
   - Domain specificity: General-purpose model that may not capture highly specialized terminology

6. **Advanced Usage**

   If you're an advanced user integrating with the system:

> **Note**: The embedding model is integrated into the system and used automatically. Most users don't need to interact with it directly. This information is provided for those who want to understand the technical underpinnings of the semantic search capability."
"PGVector Configuration","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Technical Reference<_dot_>PGVector Configuration","pgvector-configuration","pgvector-configuration","The RAG System uses PostgreSQL with the pgvector extension to store and query vector embeddings. This section covers the technical details of the pgvector configuration.","This content is about 'PGVector Configuration' within the section 'RAG System User Guide > RAG System User Guide > Technical Reference'. The RAG System uses PostgreSQL with the pgvector extension to store and query vector embeddings. This section covers the technical details of the pgvector configuration."
"PGVector Database Setup:","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Technical Reference<_dot_>PGVector Configuration<_dot_>PGVector Database Setup:","pgvector-database-setup","pgvector-database-setup","1. **Extension Installation**

   The pgvector extension must be installed in your PostgreSQL instance:

   This is handled automatically by the setup script.

2. **Vector Column**

   The system uses a dedicated column in the documents table to store vector data:

3. **Index Types**

   PGVector supports several index types for efficient similarity search:

   a. IVFFlat (default in the system):

   Good for general-purpose similarity search with moderate dataset size.

   b. HNSW (for better accuracy but slower indexing):

   Better search quality but slower index creation.

   c. Flat (for smaller datasets):

   Best for small datasets (under 10,000 documents).

4. **Distance Operators**

   PGVector provides three distance metrics:
   - `<->`: Cosine distance (default in the system)
   - `<=>`: Euclidean distance
   - `<#>`: Inner product

5. **Performance Tuning**

   For optimal performance:
   - Lists parameter: Set to √n/10 where n is the number of records
   - When using HNSW: Higher m and ef_construction values improve recall at the cost of build time and index size
   - Use LIMIT in queries to restrict the search space

6. **Example Query with PGVector**

   This is how the system performs vector similarity search internally:

   Where $1 is the query vector and $2 is the top_k parameter.

> **Note**: These details are primarily for administrators and advanced users who want to understand or customize the vector database configuration. Regular users interact with the system through the API without needing to understand these technical details.","This content is about 'PGVector Database Setup:' within the section 'RAG System User Guide > RAG System User Guide > Technical Reference > PGVector Configuration'. 1. **Extension Installation**

   The pgvector extension must be installed in your PostgreSQL instance:

   This is handled automatically by the setup script.

2. **Vector Column**

   The system uses a dedicated column in the documents table to store vector data:

3. **Index Types**

   PGVector supports several index types for efficient similarity search:

   a. IVFFlat (default in the system):

   Good for general-purpose similarity search with moderate dataset size.

   b. HNSW (for better accuracy but slower indexing):

   Better search quality but slower index creation.

   c. Flat (for smaller datasets):

   Best for small datasets (under 10,000 documents).

4. **Distance Operators**

   PGVector provides three distance metrics:
   - `<->`: Cosine distance (default in the system)
   - `<=>`: Euclidean distance
   - `<#>`: Inner product

5. **Performance Tuning**

   For optimal performance:
   - Lists parameter: Set to √n/10 where n is the number of records
   - When using HNSW: Higher m and ef_construction values improve recall at the cost of build time and index size
   - Use LIMIT in queries to restrict the search space

6. **Example Query with PGVector**

   This is how the system performs vector similarity search internally:

   Where $1 is the query vector and $2 is the top_k parameter.

> **Note**: These details are primarily for administrators and advanced users who want to understand or customize the vector database configuration. Regular users interact with the system through the API without needing to understand these technical details."
"Administration","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Administration","administration","administration","","This content is about 'Administration' within the section 'RAG System User Guide > RAG System User Guide'. "
"Performance Optimization","RAG System User Guide<_dot_>RAG System User Guide<_dot_>Administration<_dot_>Performance Optimization","performance-optimization","performance-optimization","Optimizing the performance of your RAG System ensures efficient operation, faster query responses, and better resource utilization. This section provides guidance on performance tuning for different aspects of the system.","This content is about 'Performance Optimization' within the section 'RAG System User Guide > RAG System User Guide > Administration'. Optimizing the performance of your RAG System ensures efficient operation, faster query responses, and better resource utilization. This section provides guidance on performance tuning for different aspects of the system."
